Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"55,864,519",,"847,162 ",,"41,518,472",,"13,498,885","18,323","813,220,219","333,913,610 "
India,"34,889,132",,"481,770 ",,"34,284,561",,"122,801","8,944","680,071,486","1,400,346,673 "
Brazil,"22,291,507",,"619,139 ",,"21,567,845",,"104,523","8,318","63,776,166","214,825,277 "
UK,"13,100,458",,"148,778 ",,"10,365,262",,"2,586,418",868,"404,382,130","68,420,844 "
Russia,"10,537,966","+18,233","310,518 ",+811,"9,524,039","+26,976","703,409","2,300","241,300,000","146,028,334 "
France,"10,191,926",,"123,851 ",,"8,134,841",,"1,933,234","3,333","188,795,159","65,490,168 "
Turkey,"9,519,281",,"82,506 ",,"9,086,637",,"350,138","1,128","119,062,670","85,699,649 "
Germany,"7,196,154",,"112,826 ",,"6,441,000","+22,700","642,328","4,636","89,622,218","84,185,782 "
Spain,"6,294,745",,"89,405 ",,"5,056,955",,"1,148,385","1,803","66,213,858","46,781,945 "
Italy,"6,266,939",,"137,513 ",,"5,107,729",,"1,021,697","1,297","141,221,901","60,328,445 "
Iran,"6,196,913","+1,510","131,680 ",+41,"6,040,897","+1,726","24,336","2,658","41,982,912","85,604,439 "
Argentina,"5,674,428",,"117,181 ",,"5,320,434",,"236,813","1,012","28,175,411","45,817,614 "
Colombia,"5,169,855",,"129,986 ",,"4,974,212",,"65,657",342,"29,699,775","51,695,985 "
Indonesia,"4,263,168",+174,"144,097 ",+1,"4,114,689",+190,"4,382",,"63,545,184","277,859,915 "
Poland,"4,127,428","+7,179","97,592 ",+33,"3,660,444","+14,752","369,392","1,894","27,327,211","37,784,425 "
Mexico,"3,988,916","+9,193","299,525 ",+97,"3,310,135","+2,314","379,256","4,798","12,414,103","130,963,662 "
Ukraine,"3,674,538","+1,863","96,187 ",+98,"3,477,188","+2,259","101,163",177,"16,816,266","43,339,527 "
South Africa,"3,468,079",,"91,198 ",,"3,182,969",,"193,912",546,"21,267,879","60,429,584 "
Netherlands,"3,165,793","+17,478","20,957 ",+6,"2,685,312","+21,502","459,524",463,"21,107,399","17,191,743 "
Philippines,"2,851,931","+4,600","51,570 ",+25,"2,778,943",+535,"21,418",899,"25,217,292","111,767,214 "
Malaysia,"2,761,472",,"31,513 ",,"2,688,925",,"41,034",273,"41,260,279","32,987,596 "
Czechia,"2,481,832","+1,088","36,219 ",+17,"2,340,023",+161,"105,590",570,"46,981,641","10,738,783 "
Peru,"2,296,831",,"202,690 ",,N/A,N/A,N/A,895,"21,790,289","33,660,262 "
